*accord v.符合
*accordingly adv. 因此
account n.帳戶；描述
account v.認為；解釋
abandon v. 遺棄；中止
*accountable adj. 負有責任的
*abbey n.修道院
accountant n.會計師
*abbreviation n.縮略語
*accounting n.會計學
*abide v.遵守
*accumulate v.積累
ability n.能力；才能
*accumulation n.累積
able adj.能；有能力的
accuracy n.正確(性)
*abnormal adj.反常的
accurate adj.準確的
aboard prep./adv.在(船、飛機、車)上
*accusation n.控訴
*abolish v.廢除
accuse v.把…歸咎(於)；指控
*abolition n.廢除
*accustom v.使習慣
*aboriginal adj. adj.原住民的
*ace n.么點牌；能手
*aborigine n. 土著居民
ache n./v.疼痛
*abortion n.墮胎
achieve(ment) v.(n)完成；達到
about prep./adv.關於
*acoustic adj.聽覺的
above prep./adv./adj. 在…上面；優於，勝過
acquaintance n.熟人
abroad adv.在(到)國外
acquire v.取得
abrupt adj.突然的；魯莽的
acquisition n.取得；獲得物
absence n.缺席；缺少
acre n.英畝
absent adj.缺席的
*acreage n.英畝數
absolute adj.完全的；絕對的
across prep./adv.橫越
absorb v.吸收；理解
act n./v.行動；表演
*absorbing adj.極有趣的
action n.行動；作用
abstract adj.抽象的
active adj.活躍的；積極的
*abstraction n.心不在焉／抽象概念
activity n.活動；活動力
*absurd adj.荒唐的
actor n.男演員
*abundance n.豐富
actress n.女演員
academic adj.學院的；學術的
actual adj.實際的
*acceleration n.加速
*acute adj.敏銳的
accept v./n.接受
*ad n.廣告
acceptable adj.可以接受的
adapt v.使適應
acceptance n.接受
*adaptation n.適應；改編(本)
*accessible adj.易接近的
add v.增加
*accessory n.附件
*addict n.對～有癮的人
accident n.事故
*addiction n.耽溺
accidental adj.偶然的；意外的
addition n.增加；附加
*acclaim v./n.歡呼；歡呼聲
additional adj.附加的
*accommodation n 住所
address n./v.地址；致詞
accompany v.陪同
*adequately adv.充分地
accomplish v.完成
*adjoin v.毗連
*accomplished adj.有才藝的
adjust(ment) v.(n.)調整
*accomplishment n. [C]才藝；[U]完成
*administrative adj.行政的
*administrator n.行政官員
aggressive adj.好鬥的；積極的
admirable adj.令人欽佩的
*aging adj.變老的
*admiral n.海軍將官
ago adv. 在～以前
admiration n.欽佩
*agony n.痛苦
admire v.欽佩；欣賞
agree(ment) v.(n)同意
admission n.加入許可；承認
agriculture n.農業
admit v.承認
ahead adv.在·前面；領先
*adolescence n.青春期
aid n./v.幫助
*adolescent adj./n.青春期的；青少年
*aide n.助理
adopt v.採取；收養
AIDS n.愛滋病
adult n.成年人
aim n./v.目標；瞄準
advance n./v.推進；將…提前
air n.空氣；大氣；天空
advanced adj.先進的；高等的
aircraft n.航空器；飛機
*advancement n.前進；擢升
*airforce n.空軍
advantage n.有利條件；優勢
airline n.航線；航空公司
adventure n.冒險
airmail n.航空郵件
*adverse adj.反對的
airplane n.飛機
*advert v.提及
airport n.機場；航空站
advertise(ment) v.(n)為…做廣告
*air-tight adj.密封的
*advertising n.廣告業
*airway n.航空公司；航線
advice n.勸告；消息
*aisle n.通道
advise v.勸告；忠告；通知
*akin adj.類似的
adviser/advisor n.顧問
alarm n./v.警報；驚恐
*advisory adj.提供忠告的
*alarming adj.令人憂心的
*advocate n./v.提倡者；擁護
*alas interj.哎呀(表悲傷或恐懼)
*aerospace n.航空太空(包括大氣層內外)
*albeit adv.儘管
*aesthetic adj.美感的
album n.一套唱片；相簿
affair n.事情；事件
alcohol n.酒精
affect v.影響；使感動
*alcoholic n./adj.酒精飲料；含酒精的
*affection n.愛情
alert adj./v./n.警覺的；警戒
*affiliated adj.相關聯的
*algebra n.代數
afford v.類得起；承擔得起
*alien adj.外國的
afraid adj.害怕的
*alienate v.使不和
after prep./adv./adj.在…之後；以後的
*alienation n.離間；疏遠
*aftermath n.餘波
alike adj./adv. 相同的
afternoon n.下午
alive adj.活著的；有活力的
afterward(s) adv.以後
all adj./adv./pron.全部的；全體
again adv.再一次
*allegation n.宣稱
against prep.反對；對著
*allege v.聲稱
age n./v.年齡；使變老
*allergy n.過敏性反應
agency n.代理機構；仲介
alley n.小巷子；小徑
*agenda n.議程
*alliance n.聯盟
agent n.代理人；仲介人
*allied adj.同盟的
*aggregate n.總數
*allocate v.撥給
*aggression n.侵略
*allocation n.配給
*allot v. 分配
*anecdote n.軼事
allow v. 允許
angel n.天使
almost adv.幾乎
anger n.生氣
alone adj./adv.單獨的
angle n 角度；立場
along prep./adv.沿著；一起
*angler n.釣魚者
*alongside prep./adv.靠著…旁邊
angry adj.生氣的
aloud adv.大聲地
*angular adj.有尖角的
alphabet n.字母系統
animal n.動物
already adv.已經；先前
ankle n.足踝
also adv.同樣地
anniversary n.週年紀念
*alteration adj.更動
announce(ment) v.(n.) 宣布
*alternate adj./v. 輪流的
annual adj.一年一度的
*alternative adj.替代的；二擇一的
*anonymous adj.不具名的
*alternatively adv.二擇一地
another adj./pron.另一個
although conj.雖然；然而
answer n./v.答案
*altitude n.高度
ant n.螞蟻
altogether adv.完全；總而言之
*amenna n.觸鬚；天線
*aluminum n.鋁
*anthem n.聖歌
always adv.總是；永遠
*antibiotic n.抗生素
amateur n./adj.業餘從事者；業餘的
*antibody n.抗體
amaze(ment) v.(n)使驚愕
*anticipation n.期盼
*amazing adj.令人驚訝的
*antique adj.年代久遠的
ambassador n.大使；使節
anxiety n.焦慮
*ambiguity n.意義含糊
anxious adj.焦慮的
*ambiguous adj.含糊的
any adj./adv./pron.任何的；若干
ambition n.抱負；志向
anyhow adv.無論如何
ambitious adj.野心勃勃的
*anymore adv.再也(不)
ambulance n.救護車
anyway adv.無論如何
*ambush v.埋伏突擊
apart adj./adv.分開的
*amend v.修改
apartment n.公寓大樓
*amid prep.在…當中
ape n.大猩猩
*ammunition n.彈藥
apologize v.道歉
*amnesty n.大赦
apology n.道歉
among prep.在…之中
*appal v.(=appall)使驚駭
amount n./v.共計；總數
*appalling adj.令人恐懼的
amuse(ment) v.(n.)給～提供娛樂
apparent adj.明顯的
*analects n.語錄
appeal n./v.吸引；呼籲
*analogy n.相似
*appealing adj.迷人的
analysis n.分析
appear v.出現；顯露
*analyst n.分析家
appearance n.外貌；顯露
analyze、分析
appetite n.胃口；食慾
ancestor n.祖先
*appetizer n.(主菜前用的) 開胃食物
*ancestral adj.祖先的
*applaud v.鼓掌
*anchor n.

*applause n.掌聲
ancient adj.古代的
appliance n.器具；裝備
*applicable adj.適用的
*articulate v.清楚的表達
applicant n.申請人
artificial adj.人造的
application n.應用；申請書
*artillery n.大砲
apply v.應用；申請
artist n.藝術家；藝人
appoint v.任命；指派
artistic adj.藝術的
appointment n.約定；指派
as prep./adv./conj 如同；當…時；雖然
*appraisal n.評價
*ascertain v.查明
